boat,dtf,long,lat,time
357,1888374,-43.44384,15.47853,1480305606
357,1848663,-43.81289,15.43158,1480320000
357,1808722,-44.18617,15.43253,1480334430
357,1774639,-44.50453,15.42895,1480348806
357,1740899,-44.8218,15.46545,1480363205
357,1708638,-45.12455,15.48466,1480377606
357,1678703,-45.40226,15.4458,1480392005
357,1647143,-45.69693,15.4381,1480406400
357,1616330,-45.98294,15.40244,1480420805
357,1586180,-46.26301,15.37194,1480435205
357,1566992,-46.44054,15.34101,1480449600
357,1548575,-46.6093,15.28274,1480464005
357,1527923,-46.79953,15.23402,1480478406
357,1491469,-47.13927,15.22063,1480492800
357,1458551,-47.44683,15.22208,1480507205
357,1421819,-47.78809,15.19076,1480521606
357,1388861,-48.09391,15.15717,1480536003
357,1350983,-48.44203,15.06104,1480550406
357,1307533,-48.84656,15.04373,1480564806
357,1265240,-49.24307,15.07206,1480579205
357,1222984,-49.63771,15.07263,1480593606
357,1179340,-50.04371,15.04888,1480608005
357,1134721,-50.45839,15.01975,1480622406
357,1085163,-50.91745,14.96728,1480636806
357,1039415,-51.34645,14.99,1480651205
357,994881,-51.76136,14.97475,1480665606
357,951088,-52.1706,14.97361,1480680006
357,906217,-52.59277,15.00003,1480694406
357,864910,-52.98667,15.06611,1480708806
357,821229,-53.40357,15.12337,1480723205
357,775191,-53.83576,15.11904,1480737605
357,743583,-54.12543,15.06446,1480752005
357,707215,-54.46483,15.04575,1480766405
357,669250,-54.82388,15.05635,1480780805
357,634043,-55.15632,15.05884,1480795206
357,599035,-55.48117,15.0252,1480809606
357,562080,-55.8143,14.93207,1480824005
357,524849,-56.14284,14.79063,1480838402
357,487382,-56.47471,14.64477,1480852805
328,3862994,-15.42516,28.12879,1478368832
328,3862994,-15.42514,28.12877,1478376000
328,3862994,-15.42515,28.12876,1478379600
328,3862994,-15.42518,28.12877,1478383200
328,3862994,-15.42514,28.12879,1478386800
328,3862994,-15.42515,28.12877,1478390400
328,3862994,-15.42514,28.12879,1478394000
328,3862994,-15.42515,28.12878,1478397600
328,3862994,-15.42515,28.12879,1478401200
328,3862994,-15.42515,28.12879,1478404800
328,3862994,-15.42516,28.12876,1478408400
328,3862994,-15.42515,28.12878,1478412000
328,3862994,-15.42516,28.12876,1478412900
